"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 19:39:33 GMT 2022","Mon Apr 04 19:39:34 GMT 2022","842","Suite","Test","dsl.testDsl","dsl.testDsl","testLabel","testLabel",""
"skipped","Mon Apr 04 19:42:42 GMT 2022","Mon Apr 04 19:42:42 GMT 2022","15","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_caseInsensitiveComparison_expectedToPass","assertElementAttribute_true_caseInsensitiveComparison_expectedToPass",""
"failed","Mon Apr 04 19:42:41 GMT 2022","Mon Apr 04 19:42:41 GMT 2022","1","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","beforeMethod","beforeMethod",""
"passed","Mon Apr 04 19:39:41 GMT 2022","Mon Apr 04 19:39:41 GMT 2022","25","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_true_greaterThan_expectedToPass","assertComparativeRelation_greaterThanOrEquals_true_greaterThan_expectedToPass",""
"skipped","Mon Apr 04 19:42:42 GMT 2022","Mon Apr 04 19:42:42 GMT 2022","40","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_literalComparison_expectedToFail","assertElementAttribute_false_literalComparison_expectedToFail",""
"skipped","Mon Apr 04 19:42:43 GMT 2022","Mon Apr 04 19:42:43 GMT 2022","20","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_false_expectedToFail","assertFileExists_false_expectedToFail",""
"skipped","Mon Apr 04 20:03:46 GMT 2022","Mon Apr 04 20:03:46 GMT 2022","10","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","assertOnCancelAlertResultText","assertOnCancelAlertResultText",""
"skipped","Mon Apr 04 20:03:47 GMT 2022","Mon Apr 04 20:03:47 GMT 2022","8","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","assertOnConfirmAlertResultText","assertOnConfirmAlertResultText",""
"skipped","Mon Apr 04 19:51:45 GMT 2022","Mon Apr 04 19:51:45 GMT 2022","14","Suite","Test","testPackage01.Test_dragAndDrop","testPackage01.Test_dragAndDrop","dragAndDropByOffset","TC002 - Test Drag and Drop by offset function.",""
"skipped","Mon Apr 04 20:33:49 GMT 2022","Mon Apr 04 20:33:49 GMT 2022","9","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","isVisible","isVisible",""
"failed","Mon Apr 04 20:06:47 GMT 2022","Mon Apr 04 20:06:47 GMT 2022","0","Suite","Test","testPackage01.TestJSAlertBox","testPackage01.TestJSAlertBox","navigateToJSAlertPage","navigateToJSAlertPage",""
"passed","Mon Apr 04 19:39:41 GMT 2022","Mon Apr 04 19:39:41 GMT 2022","20","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_false_equals_expectedToPass","assertComparativeRelation_greaterThanOrEquals_false_equals_expectedToPass",""
"skipped","Mon Apr 04 20:43:12 GMT 2022","Mon Apr 04 20:43:12 GMT 2022","8","Suite","Test","testPackage01.Test_google","testPackage01.Test_google","navigateToURLandVerifyGoogleLogoIsDisplayed","TC001 - Navigate to URL and Verify Google Logo is Displayed",""
"skipped","Mon Apr 04 20:36:51 GMT 2022","Mon Apr 04 20:36:51 GMT 2022","11","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f7","f7",""
"skipped","Mon Apr 04 19:42:43 GMT 2022","Mon Apr 04 19:42:43 GMT 2022","12","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_true_expectedToFail","assertFileExists_true_expectedToFail",""
"skipped","Mon Apr 04 20:36:50 GMT 2022","Mon Apr 04 20:36:50 GMT 2022","31","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f25","f25",""
"passed","Mon Apr 04 20:27:49 GMT 2022","Mon Apr 04 20:27:49 GMT 2022","81","Suite","Test","testPackage01.Test_JsonCompareWithSpecialCharacters","testPackage01.Test_JsonCompareWithSpecialCharacters","specialCharacters_assertion","specialCharacters_assertion",""
"skipped","Mon Apr 04 19:48:44 GMT 2022","Mon Apr 04 19:48:44 GMT 2022","35","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","navigateBack","navigateBack",""
"skipped","Mon Apr 04 19:42:43 GMT 2022","Mon Apr 04 19:42:43 GMT 2022","13","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_true_expectedToPass__","assertEquals_true_expectedToPass__",""
"skipped","Mon Apr 04 20:43:12 GMT 2022","Mon Apr 04 20:43:12 GMT 2022","10","Suite","Test","testPackage01.Test_google","testPackage01.Test_google","searchForQueryandAssertResultsNumDisplayed","TC002 - Search for Query and Assert that the number of results is displayed",""
"passed","Mon Apr 04 20:33:50 GMT 2022","Mon Apr 04 20:33:50 GMT 2022","11","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f1","f1",""
"skipped","Mon Apr 04 20:36:50 GMT 2022","Mon Apr 04 20:36:50 GMT 2022","8","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f22","f22",""
"skipped","Mon Apr 04 19:42:43 GMT 2022","Mon Apr 04 19:42:43 GMT 2022","25","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_true_expectedToPass","Assert that assertEquals works as expected when the two values are equal.",""
"skipped","Mon Apr 04 20:39:51 GMT 2022","Mon Apr 04 20:39:51 GMT 2022","8","Suite","Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","acceptPromptAlertWithTextMessage","acceptPromptAlertWithTextMessage",""
"skipped","Mon Apr 04 19:48:44 GMT 2022","Mon Apr 04 19:48:44 GMT 2022","14","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","fullScreenWindow","fullScreenWindow",""
"skipped","Mon Apr 04 19:42:43 GMT 2022","Mon Apr 04 19:42:43 GMT 2022","46","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementExists_true_multipleElementsFound_expectedToFail","assertElementExists_true_multipleElementsFound_expectedToFail",""
"skipped","Mon Apr 04 20:36:50 GMT 2022","Mon Apr 04 20:36:50 GMT 2022","19","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f2","f2",""
"skipped","Mon Apr 04 19:48:44 GMT 2022","Mon Apr 04 19:48:44 GMT 2022","11","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","getWindowPosition","getWindowPosition",""
"passed","Mon Apr 04 19:39:41 GMT 2022","Mon Apr 04 19:39:41 GMT 2022","15","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_true_greaterThan_expectedToFail","assertComparativeRelation_greaterThanOrEquals_true_greaterThan_expectedToFail",""
"passed","Mon Apr 04 19:39:41 GMT 2022","Mon Apr 04 19:39:41 GMT 2022","17","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_true_equals_expectedToFail","assertComparativeRelation_greaterThanOrEquals_true_equals_expectedToFail",""
"failed","Mon Apr 04 20:03:46 GMT 2022","Mon Apr 04 20:03:46 GMT 2022","0","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","navigateToJSAlertPage","navigateToJSAlertPage",""
"failed","Mon Apr 04 20:33:49 GMT 2022","Mon Apr 04 20:33:49 GMT 2022","0","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","beforeClass","beforeClass",""
"skipped","Mon Apr 04 19:45:44 GMT 2022","Mon Apr 04 19:45:44 GMT 2022","14","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","waitForElementToBePresent_false_expectedToFail","waitForElementToBePresent_false_expectedToFail",""
"skipped","Mon Apr 04 19:48:45 GMT 2022","Mon Apr 04 19:48:45 GMT 2022","24","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","setWindowSize","setWindowSize",""
"skipped","Mon Apr 04 20:33:49 GMT 2022","Mon Apr 04 20:33:49 GMT 2022","21","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","text","text",""
"failed","Mon Apr 04 20:36:50 GMT 2022","Mon Apr 04 20:36:50 GMT 2022","0","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","openBrowser","openBrowser",""
"skipped","Mon Apr 04 20:33:49 GMT 2022","Mon Apr 04 20:33:49 GMT 2022","17","Suite","Test","testPackage01.validationsWizard.Test_ElementValidations","testPackage01.validationsWizard.Test_ElementValidations","isNotChecked","isNotChecked",""
"failed","Mon Apr 04 19:51:45 GMT 2022","Mon Apr 04 19:51:45 GMT 2022","0","Suite","Test","testPackage01.Test_dragAndDrop","testPackage01.Test_dragAndDrop","beforeMethod","beforeMethod",""
"failed","Mon Apr 04 20:46:12 GMT 2022","Mon Apr 04 20:46:12 GMT 2022","0","Suite","Test","testPackage01.Test_assertEquals","testPackage01.Test_assertEquals","beforeClass","beforeClass",""
"failed","Mon Apr 04 20:09:47 GMT 2022","Mon Apr 04 20:09:47 GMT 2022","1","Suite","Test","testPackage01.Test_dynamicLoading","testPackage01.Test_dynamicLoading","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 19:45:44 GMT 2022","Mon Apr 04 19:45:44 GMT 2022","15","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","waitForElementToBePresent_true_expectedToPass","waitForElementToBePresent_true_expectedToPass",""
"skipped","Mon Apr 04 20:36:50 GMT 2022","Mon Apr 04 20:36:50 GMT 2022","10","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f21","f21",""
"failed","Mon Apr 04 20:15:48 GMT 2022","Mon Apr 04 20:15:48 GMT 2022","0","Suite","Test","testPackage01.Test_chainableElementActions","testPackage01.Test_chainableElementActions","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 20:39:51 GMT 2022","Mon Apr 04 20:39:51 GMT 2022","13","Suite","Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","assertOnConfirmPromptAlertWithoutTypingTextMessageResultText","assertOnConfirmPromptAlertWithoutTypingTextMessageResultText",""
"passed","Mon Apr 04 20:46:12 GMT 2022","Mon Apr 04 20:46:12 GMT 2022","16","Suite","Test","testPackage01.Test_checkJDKShellFilesGenerated","testPackage01.Test_checkJDKShellFilesGenerated","testJDKGeneratedSuccessfully","testJDKGeneratedSuccessfully",""
"skipped","Mon Apr 04 19:42:43 GMT 2022","Mon Apr 04 19:42:43 GMT 2022","13","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_false_expectedToPass","assertFileExists_false_expectedToPass",""
"skipped","Mon Apr 04 19:48:44 GMT 2022","Mon Apr 04 19:48:44 GMT 2022","17","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","getCurrentURL","getCurrentURL",""
"passed","Mon Apr 04 19:39:41 GMT 2022","Mon Apr 04 19:39:41 GMT 2022","208","Suite","Test","unitTests.tests_restActions","unitTests.tests_restActions","validateUserId","validateUserId",""
"skipped","Mon Apr 04 20:39:51 GMT 2022","Mon Apr 04 20:39:51 GMT 2022","17","Suite","Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","dismissAlert","dismissAlert",""
"skipped","Mon Apr 04 19:42:44 GMT 2022","Mon Apr 04 19:42:44 GMT 2022","17","Suite","Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertNull_true_expectedToFail","assertNull_true_expectedToFail",""
"skipped","Mon Apr 04 19:51:45 GMT 2022","Mon Apr 04 19:51:45 GMT 2022","21","Suite","Test","testPackage01.Test_dragAndDrop","testPackage01.Test_dragAndDrop","dragAndDropJquery","dragAndDropJquery",""
"skipped","Mon Apr 04 19:48:44 GMT 2022","Mon Apr 04 19:48:44 GMT 2022","16","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","getWindowHandle","getWindowHandle",""
"skipped","Mon Apr 04 20:03:46 GMT 2022","Mon Apr 04 20:03:47 GMT 2022","9","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","acceptAlert","acceptAlert",""
"failed","Mon Apr 04 19:45:44 GMT 2022","Mon Apr 04 19:45:44 GMT 2022","0","Suite","Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 20:03:46 GMT 2022","Mon Apr 04 20:03:46 GMT 2022","10","Suite","Test","testPackage01.TestJSConfirmBox","testPackage01.TestJSConfirmBox","getAlertText","getAlertText",""
"failed","Mon Apr 04 19:48:44 GMT 2022","Mon Apr 04 19:48:44 GMT 2022","1","Suite","Test","unitTests.tests_browserActions","unitTests.tests_browserActions","beforeMethod","beforeMethod",""
"skipped","Mon Apr 04 20:36:50 GMT 2022","Mon Apr 04 20:36:50 GMT 2022","8","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f20","f20",""
"skipped","Mon Apr 04 20:36:50 GMT 2022","Mon Apr 04 20:36:50 GMT 2022","16","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f28","f28",""
"skipped","Mon Apr 04 20:36:50 GMT 2022","Mon Apr 04 20:36:50 GMT 2022","14","Suite","Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f10","f10",""
